127.0.0.1 - - [09/Jun/2012:16:13:01 +0100] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1%0 - - [09/Jun/2012:16:13:02 +0100] "GET /site HTTP/1.1" 302 -
0:0:0:0:0:0:0:1%0 - - [09/Jun/2012:16:13:19 +0100] "GET /site/ HTTP/1.1" 200 1293
0:0:0:0:0:0:0:1%0 - - [09/Jun/2012:16:13:19 +0100] "GET /site/css/style.css HTTP/1.1" 200 724
0:0:0:0:0:0:0:1%0 - - [09/Jun/2012:16:13:19 +0100] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1%0 - - [09/Jun/2012:16:13:30 +0100] "GET /site/about HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1%0 - - [09/Jun/2012:16:13:30 +0100] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1%0 - - [09/Jun/2012:16:13:34 +0100] "GET /site/news HTTP/1.1" 200 2670
0:0:0:0:0:0:0:1%0 - - [09/Jun/2012:16:13:34 +0100] "GET /site/news HTTP/1.1" 200 2670
0:0:0:0:0:0:0:1%0 - - [09/Jun/2012:16:13:34 +0100] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1%0 - - [09/Jun/2012:16:13:37 +0100] "GET /site/news/2011/toyota-suggests-putting-a-glass-of-water-on-your-dash.html HTTP/1.1" 200 2414
0:0:0:0:0:0:0:1%0 - - [09/Jun/2012:16:13:37 +0100] "GET /site/binaries/content/gallery/hutchisontechnicalhippoproject/news/2011/toyota-a-glass-of-water-image.jpg HTTP/1.1" 200 23023
0:0:0:0:0:0:0:1%0 - - [09/Jun/2012:16:13:37 +0100] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1%0 - - [09/Jun/2012:16:13:39 +0100] "GET /site HTTP/1.1" 302 -
0:0:0:0:0:0:0:1%0 - - [09/Jun/2012:16:13:39 +0100] "GET /site/ HTTP/1.1" 200 1293
0:0:0:0:0:0:0:1%0 - - [09/Jun/2012:16:13:39 +0100] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1%0 - - [09/Jun/2012:16:13:40 +0100] "GET /site/news HTTP/1.1" 200 2670
0:0:0:0:0:0:0:1%0 - - [09/Jun/2012:16:13:40 +0100] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1%0 - - [09/Jun/2012:16:13:42 +0100] "GET /site/news/2011/pbs-show-asserts-greenhouse-gases-atmospheric-pollutants-dimming-future.html HTTP/1.1" 200 2840
0:0:0:0:0:0:0:1%0 - - [09/Jun/2012:16:13:42 +0100] "GET /site/binaries/content/gallery/hutchisontechnicalhippoproject/news/2011/contrail.jpg HTTP/1.1" 200 13631
0:0:0:0:0:0:0:1%0 - - [09/Jun/2012:16:13:42 +0100] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1%0 - - [09/Jun/2012:16:14:08 +0100] "GET /site HTTP/1.1" 302 -
0:0:0:0:0:0:0:1%0 - - [09/Jun/2012:16:14:08 +0100] "GET /site/ HTTP/1.1" 200 1293
0:0:0:0:0:0:0:1%0 - - [09/Jun/2012:16:14:08 +0100] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1%0 - - [09/Jun/2012:16:31:46 +0100] "GET /site/ HTTP/1.1" 200 1297
0:0:0:0:0:0:0:1%0 - - [09/Jun/2012:16:31:46 +0100] "GET /site/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [09/Jun/2012:16:31:46 +0100] "GET /favicon.ico HTTP/1.1" 404 -
